No,itemId,itemName,nameJP,nameTrans,itemType,itemSubtype,buttonType,dataType,required,format,minLength,maxLength,defaultValue,validationNote,description,userAction,transitionNote,databaseTable,databaseColumn,databaseNote,qa
"B1.2","2167:9036","Coming soon","近日公開ラベル","Coming Soon Label","label","","","","","","","","Coming soon","","Mục đích: Nhãn thông báo trạng thái sự kiện sắp diễn ra.
Hiển thị: Text 'Coming soon' đặt phía trên đồng hồ đếm ngược.
Chức năng: Hiển thị tĩnh. Ẩn đi khi thời gian đã trôi qua mốc sự kiện (sự kiện đã diễn ra).","","","","","","- Xác nhận nhãn 'Coming soon' hiển thị đúng
- Xác nhận nhãn ẩn đi sau khi sự kiện đã diễn ra"
"B1.3","2167:9037","Countdown","カウントダウン","Countdown","others","countdown","","","","DD:HH:MM","","","","","Mục đích: Bộ đồng hồ đếm ngược gồm 3 đơn vị thời gian.
Hiển thị: 3 nhóm số đặt cạnh nhau theo hàng ngang: Days; Hours; Minutes. Mỗi nhóm gồm 2 ô số (flip-clock style) và nhãn đơn vị (DAYS/HOURS/MINUTES) phía dưới bằng chữ in hoa.
Chức năng: Tự động đếm ngược; giảm dần theo thời gian thực. Luôn hiển thị 2 chữ số (thêm '0' nếu cần). Khi về 0: ẩn nhãn 'Coming soon' và giữ trạng thái 00.","","","events","event_date","Tính toán từ event_date trừ đi thời gian hiện tại.","- Xác nhận 3 nhóm số hiển thị đúng dạng flip-clock
- Xác nhận nhãn DAYS; HOURS; MINUTES hiển thị đúng
- Xác nhận giá trị đếm ngược chính xác
- Xác nhận animation flip khi số thay đổi (nếu có)"
"B1.3.1","2167:9038","Days","日数","Days","others","countdown_tile","","number","","2 chữ số (00-99)","2","2","","","Mục đích: Ô hiển thị số ngày còn lại trong đồng hồ đếm ngược.
Hiển thị: 2 ô chữ số dạng flip-clock hiển thị số ngày còn lại. Bên dưới có nhãn 'DAYS' chữ in hoa.
Chức năng: Tự động cập nhật; giảm 1 đơn vị mỗi ngày. Hiển thị 2 chữ số (thêm số 0 đứng đầu nếu < 10). Hiển thị '00' khi hết ngày.","","","events","event_date","Tính số ngày còn lại = (event_date - current_date).days","- Xác nhận hiển thị đúng 2 chữ số
- Xác nhận nhãn 'DAYS' hiển thị bên dưới
- Xác nhận giá trị giảm đúng 1 đơn vị mỗi ngày
- Xác nhận hiển thị '00' khi hết ngày
- Xác nhận thêm số 0 đứng đầu khi giá trị < 10"
"B1.3.2","2167:9043","Hours","時間","Hours","others","countdown_unit","","number","","2 chữ số (00-23)","2","2","","","Mục đích: Ô hiển thị số giờ còn lại trong đồng hồ đếm ngược.
Hiển thị: 2 ô chữ số dạng flip-clock hiển thị số giờ còn lại. Bên dưới có nhãn 'HOURS' chữ in hoa.
Chức năng: Tự động cập nhật; giảm 1 đơn vị mỗi giờ. Reset về 23 khi chuyển ngày mới. Hiển thị 2 chữ số (thêm số 0 đứng đầu nếu < 10).","","","events","event_date","Tính số giờ còn lại = (event_date - current_date).hours % 24","- Xác nhận hiển thị đúng 2 chữ số
- Xác nhận nhãn 'HOURS' hiển thị bên dưới
- Xác nhận giá trị trong khoảng 00-23
- Xác nhận giá trị giảm đúng 1 đơn vị mỗi giờ
- Xác nhận reset về 23 khi chuyển ngày"
"B1.3.3","2167:9048","Minutes","分（カウントダウン）","Minutes (Countdown)","others","countdown_unit","","number","","2 chữ số (00-59)","2","2","","Giá trị phút phải nằm trong khoảng 00-59. Khi đếm ngược kết thúc; hiển thị 00.","Mục đích: Ô hiển thị số phút còn lại trong đồng hồ đếm ngược.
Hiển thị: 2 ô chữ số dạng flip-clock hiển thị số phút còn lại. Bên dưới có nhãn 'MINUTES' chữ in hoa.
Chức năng: Tự động giảm mỗi phút; đồng bộ cùng DAYS và HOURS tạo thành bộ countdown hoàn chỉnh.","","","events","event_date","Tính toán phút còn lại từ thời điểm hiện tại đến event_date.","- Xác nhận số phút hiển thị đúng 2 chữ số (có zero-padding)
- Xác nhận nhãn 'MINUTES' hiển thị phía dưới ô số
- Xác nhận countdown cập nhật realtime mỗi phút
- Xác nhận khi phút về 00; giờ giảm 1 và phút reset về 59
- Xác nhận khi countdown kết thúc; hiển thị 00 hoặc ẩn countdown"
"B2","2167:9053","Thông tin sự kiện","イベント情報","Event Information","others","info_block","","","","","","","","","Mục đích: Cung cấp thông tin cơ bản về sự kiện SAA cho người dùng.
Hiển thị:
- Nhãn 'Thời gian:' và giá trị '26/12/2025'
- Nhãn 'Địa điểm:' và giá trị 'Âu Cơ Art Center'
- Ghi chú: 'Tường thuật trực tiếp qua sóng Livestream'
Chức năng: Hiển thị tĩnh; không có tương tác. Responsive: trên màn nhỏ các dòng sẽ xuống hàng.","","","events","event_date; venue; broadcast_note","Lấy thông tin sự kiện từ bảng events.","- Xác nhận hiển thị đúng ngày sự kiện '26/12/2025'
- Xác nhận hiển thị đúng địa điểm 'Âu Cơ Art Center'
- Xác nhận hiển thị dòng ghi chú 'Tường thuật trực tiếp qua sóng Livestream'
- Xác nhận responsive: thông tin hiển thị rõ ràng trên các kích thước màn hình"
"B3","2167:9062","Call-To-Action","コールトゥアクション","Call-To-Action","button","","text_link","","","","","","","","Mục đích: Nhóm chứa 2 nút CTA chính trên phần hero section; hướng dẫn người dùng đến các trang thông tin chi tiết.
Hiển thị: 2 nút nằm ngang cạnh nhau: 'ABOUT AWARDS' (trạng thái hover) và 'ABOUT KUDOS' (trạng thái normal). Cả hai đều có icon mũi tên hướng lên-phải. 2 nút có hiển thị thay đổi theo state như nhau.
Chức năng: Container chứa 2 nút con B3.1 và B3.2. Click navigate đến trang tương ứng.","on_click","Nút 'ABOUT AWARDS' -> trang Award Information; Nút 'ABOUT KUDOS' -> trang Sun* Kudos","","","","- Xác nhận cả 2 nút hiển thị đúng vị trí ngang hàng
- Xác nhận nút 'ABOUT AWARDS' có nền vàng (hover state)
- Xác nhận nút 'ABOUT KUDOS' có nền tối (normal state)
- Xác nhận responsive: 2 nút vẫn hiển thị hợp lý trên mobile"
"B3.1","2167:9063","Button-IC About","アワードについてボタン","Button About Awards","button","","icon_text","","","","","","","","Mục đích: Nút CTA chính dẫn người dùng đến trang thông tin giải thưởng.
Hiển thị: Nút hình chữ nhật bo góc; chữ 'ABOUT AWARDS'; icon mũi tên hướng lên-phải bên phải. State hover được thiết kế trong design. Ở trạng thái normal: hiển thị như item B3.2.
Chức năng: Click điều hướng đến trang Award Information.","on_click","Trang Award Information","","","","- Xác nhận text hiển thị đúng 'ABOUT AWARDS'
- Xác nhận icon mũi tên hiển thị bên phải text
- Xác nhận hover state: thay đổi style khi rê chuột
- Xác nhận click chuyển đúng đến trang Award Information
- Xác nhận cursor pointer khi hover"
"B3.2","2167:9064","Button-IC Kudos","Kudosについてボタン","Button About Kudos","button","","icon_text","","","","","","","","Mục đích: Nút CTA dẫn người dùng đến trang Sun* Kudos.
Hiển thị: Nút hình chữ nhật bo góc; chữ 'ABOUT KUDOS'; icon mũi tên hướng lên-phải bên phải. State normal. Ở trạng thái hover: hiển thị như item B3.1.
Chức năng: Click điều hướng đến trang Sun* Kudos.","on_click","Trang Sun* Kudos","","","","- Xác nhận text hiển thị đúng 'ABOUT KUDOS'
- Xác nhận icon mũi tên hiển thị bên phải text
- Xác nhận hover state: thay đổi style khi rê chuột
- Xác nhận click chuyển đúng đến trang Sun* Kudos
- Xác nhận cursor pointer khi hover"
"B4","5001:14827","content","コンテンツ（Root Further説明）","Content (Root Further Description)","others","info_block","","","","","","","","","Mục đích: Truyền tải thông điệp và tinh thần 'Root Further' - chủ đề chính của Sun* Annual Awards 2025.
Hiển thị: Khối văn bản dài gồm nhiều đoạn; chữ trắng/xám nhạt trên nền tối; bao gồm:
- Đoạn giải thích ý nghĩa 'Root Further'
- Câu trích dẫn tiếng Anh 'A tree with deep roots fears no storm' kèm bản dịch
- Đoạn kêu gọi hành động
- Logo 'Root Further' dạng hình ảnh phía trên
Chức năng: Hiển thị tĩnh; không có tương tác. Responsive: tự xuống dòng trên màn hình nhỏ.","","","","","","- Xác nhận nội dung hiển thị đầy đủ; không bị cắt
- Xác nhận câu trích dẫn tiếng Anh hiển thị đúng định dạng
- Xác nhận responsive: text xuống dòng hợp lý trên mobile
- Xác nhận logo 'Root Further' hiển thị phía trên đoạn text"
"C1","2167:9069","Header Giải thưởng","賞セクションヘッダー","Awards Section Header","others","info_block","","","","","","","","","Mục đích: Tiêu đề cho section danh sách giải thưởng; giúp người dùng nhận biết đang xem phần hệ thống giải thưởng.
Hiển thị:
- Caption nhỏ: 'Sun* annual awards 2025'
- Đường kẻ ngang phân cách
- Tiêu đề lớn: 'Hệ thống giải thưởng'
- Mô tả phụ: 'Các hạng mục sẽ được trao giải theo TOP những người xuất sắc nhất.'
Chức năng: Hiển thị tĩnh; đóng vai trò section header.","","","","","","- Xác nhận caption 'Sun* annual awards 2025' hiển thị đúng
- Xác nhận tiêu đề 'Hệ thống giải thưởng' hiển thị đúng font lớn; đậm
- Xác nhận đường kẻ phân cách giữa caption và title
- Xác nhận mô tả phụ hiển thị đúng bên dưới tiêu đề"
"C2","5005:14974","Award list","賞一覧","Award List","others","card","","","","","","","","","Mục đích: Hiển thị toàn bộ danh sách hạng mục giải thưởng SAA 2025 dưới dạng grid thẻ trực quan.
Hiển thị: Grid 3 cột x 2 hàng; mỗi thẻ gồm:
- Ảnh hạng mục (hình tròn vàng gold với tên giải)
- Tên giải
- Mô tả ngắn (tối đa 2 dòng; có ellipsis)
- Nút 'Chi tiết' kèm icon
Hàng 1: Top Talent; Top Project; Top Project Leader
Hàng 2: Best Manager; Signature 2025 - Creator; MVP
Chức năng: Mỗi thẻ clickable; dẫn đến trang Award Information#[slug-hạng-mục]. Hover: nâng nhẹ thẻ. Responsive: Mobile/Tablet 2 cột; Desktop 3 cột.","on_click","Trang Award Information#[tên-giải-thưởng]","award_categories","name; description; image_url","Lấy danh sách hạng mục giải thưởng.","- Xác nhận hiển thị đủ 6 thẻ giải thưởng
- Xác nhận layout grid 3 cột x 2 hàng
- Xác nhận mỗi thẻ có đủ: ảnh; tên; mô tả; nút 'Chi tiết'
- Xác nhận hover effect: thẻ nâng nhẹ khi rê chuột
- Xác nhận click mỗi thẻ chuyển đến đúng trang Award Information với hashtag tương ứng
- Xác nhận responsive: grid chuyển về 2 cột hoặc 1 cột trên tablet/mobile"
"C2.1","2167:9075","Top Talent Award","トップタレント賞","Top Talent Award","others","card","","","","","","","","","Mục đích: Giới thiệu hạng mục giải thưởng 'Top Talent' - vinh danh cá nhân xuất sắc nhất.
Hiển thị:
- Ảnh thumbnail hình tròn vàng gold với text 'TOP TALENT'
- Tên giải 'Top Talent'
- Mô tả ngắn 'Vinh danh top cá nhân xuất sắc trên mọi phương diện'
- Nút 'Chi tiết' với icon mũi tên
Chức năng: Toàn thẻ clickable; dẫn đến trang Award Information#top-talent. Hover: nâng nhẹ thẻ.","on_click","Trang Award Information#top-talent","award_categories","id; name; short_description; thumbnail_url","Lấy thông tin hạng mục Top Talent.","- Xác nhận ảnh thumbnail hiển thị đúng hạng mục 'TOP TALENT'
- Xác nhận tên giải 'Top Talent' hiển thị đúng
- Xác nhận mô tả hiển thị đầy đủ; tối đa 2 dòng
- Xác nhận nút 'Chi tiết' có icon mũi tên
- Xác nhận click chuyển đúng đến trang Award Information#top-talent
- Xác nhận hover effect trên toàn thẻ"
"C2.1.1","I2167:9075;214:1019","Picture-Award","賞画像","Award Picture","others","card","","","","","","","","- Condition: Ảnh không tải được
Error: Hiển thị placeholder thay thế","Mục đích: Hiển thị ảnh đại diện cho hạng mục giải thưởng 'Top Talent'.
Hiển thị: Gồm 2 layer: nền hình tròn vàng gold với hiệu ứng phát sáng và đế trophy; text 'TOP TALENT' font lớn đậm nằm giữa hình tròn.
Chức năng: Clickable; cùng hành vi với thẻ cha C2.1. Hover: nâng nhẹ.","on_click","Trang Award Information#top-talent","award_categories","thumbnail_url","Ảnh thumbnail của hạng mục; lưu trên storage.","- Xác nhận ảnh tải thành công; không bị vỡ
- Xác nhận text 'TOP TALENT' hiển thị rõ ràng trong ảnh
- Xác nhận click ảnh chuyển đến trang Award Information
- Xác nhận hover effect hoạt động
- Xác nhận ảnh giữ tỷ lệ; không bị méo trên các kích thước màn hình"
"C2.1.2","I2167:9075;214:1021","Top Talent","トップタレント（ラベル）","Top Talent (Label)","label","","","","","","","","Top Talent","","Mục đích: Hiển thị tên hạng mục giải thưởng 'Top Talent' trong thẻ card.
Hiển thị: Text 'Top Talent'; nằm dưới ảnh thumbnail và trên mô tả ngắn.
Chức năng: Label tĩnh; clickable kế thừa từ thẻ cha. Click mở trang Award Information#top-talent.","on_click","Trang Award Information#top-talent","award_categories","name","Tên hạng mục giải thưởng.","- Xác nhận text hiển thị đúng 'Top Talent'
- Xác nhận vị trí nằm dưới ảnh; trên mô tả
- Xác nhận click dẫn đến đúng trang chi tiết"
"C2.1.3","I2167:9075;214:1022","Vinh danh top cá nhân xuất sắc trên mọi phương diện","説明文（トップタレント）","Description (Top Talent)","label","","","","","","","","","- Condition: Text dài hơn 2 dòng
Error: Hiển thị dấu ba chấm (...) ở cuối câu (text-overflow: ellipsis; -webkit-line-clamp: 2)","Mục đích: Cung cấp mô tả ngắn gọn về hạng mục giải thưởng 'Top Talent'.
Hiển thị: Dòng text mô tả; nằm dưới label 'Top Talent'. Giới hạn 2 dòng; nếu vượt quá sẽ hiển thị dấu '...'.
Chức năng: Label mô tả tĩnh; không tương tác trực tiếp.","","","award_categories","short_description","Mô tả ngắn của hạng mục giải thưởng.","- Xác nhận text mô tả hiển thị đúng nội dung
- Xác nhận giới hạn 2 dòng hoạt động (dấu ba chấm khi text dài)
- Xác nhận vị trí nằm dưới label tên giải; trên nút 'Chi tiết'
- Kiểm tra với text dài hơn design: xác nhận ellipsis hoạt động"
"C2.1.4","I2167:9075;214:1023","Button-IC","詳細ボタン","Detail Button","button","","icon_text","","","","","","Chi tiết","","Mục đích: Nút dẫn người dùng đến trang chi tiết hạng mục giải thưởng Top Talent.
Hiển thị: Text 'Chi tiết' kèm icon mũi tên hướng lên-phải bên phải. Dạng text link.
Chức năng: Click điều hướng đến trang Award Information với anchor tương ứng.","on_click","Trang Award Information#top-talent","","","URL điều hướng tĩnh dựa trên award_category slug.","- Xác nhận text hiển thị đúng 'Chi tiết'
- Xác nhận icon mũi tên hiển thị bên phải text
- Xác nhận click chuyển đến đúng trang Award Information#top-talent
- Xác nhận hover state: có thay đổi visual
- Xác nhận cursor pointer khi hover"
"C2.2","2167:9076","Top Project Award","トッププロジェクト賞","Top Project Award","others","card","","","","","","","","","Mục đích: Giới thiệu hạng mục giải thưởng 'Top Project' - vinh danh dự án xuất sắc nhất.
Hiển thị: Thẻ card cấu trúc giống C2.1; gồm:
- Ảnh thumbnail hình tròn vàng gold với text 'TOP PROJECT'
- Tên giải 'Top Project'
- Mô tả ngắn
- Nút 'Chi tiết' với icon mũi tên
Chức năng: Toàn thẻ clickable; dẫn đến trang Award Information#top-project. Hover: nâng nhẹ thẻ.","on_click","Trang Award Information#top-project","award_categories","id; name; short_description; thumbnail_url","Lấy thông tin hạng mục Top Project.","- Xác nhận ảnh thumbnail hiển thị đúng 'TOP PROJECT'
- Xác nhận tên giải 'Top Project' hiển thị đúng
- Xác nhận mô tả hiển thị đầy đủ; tối đa 2 dòng
- Xác nhận click chuyển đúng đến trang Award Information#top-project
- Xác nhận hover effect nâng nhẹ thẻ
- Xác nhận cấu trúc thẻ nhất quán với C2.1"
"C2.3","2167:9077","Top Project Leader Award","トッププロジェクトリーダー賞","Top Project Leader Award","others","card","","","","","","","","","Mục đích: Hiển thị thẻ giới thiệu hạng mục giải thưởng 'Top Project Leader'.
Hiển thị: Thẻ bao gồm hình ảnh minh họa giải thưởng (vòng tròn vàng với chữ 'TOP PROJECT LEADER'); tên hạng mục 'Top Project Leader'; mô tả ngắn 'Vinh danh người quản lý truyền cảm hứng và dẫn dắt dự án bứt phá'; nút 'Chi tiết' kèm icon mũi tên.
Chức năng: Click vào thẻ hoặc nút 'Chi tiết' sẽ điều hướng đến trang Award Information tương ứng.","on_click","Trang Award Information (Top Project Leader)","award_categories","award_category","Lấy thông tin hạng mục 'Top Project Leader'.","- Kiểm tra thẻ hiển thị đúng hình ảnh; tên và mô tả hạng mục Top Project Leader
- Kiểm tra nút 'Chi tiết' hoạt động và điều hướng đúng
- Kiểm tra hiệu ứng hover trên thẻ
- Kiểm tra responsive trên các kích thước màn hình khác nhau"
"C2.4","2167:9079","Best Manager Award","ベストマネージャー賞","Best Manager Award","others","card","","","","","","","","","Mục đích: Hiển thị thẻ giới thiệu hạng mục giải thưởng 'Best Manager'.
Hiển thị: Thẻ bao gồm hình ảnh minh họa giải thưởng (vòng tròn vàng với chữ 'BEST MANAGER'); tên hạng mục 'Best Manager'; mô tả ngắn 'Vinh danh người quản lý có năng lực quản lý tốt; dẫn dắt đội nhóm'; nút 'Chi tiết' kèm icon mũi tên.
Chức năng: Click vào thẻ hoặc nút 'Chi tiết' sẽ điều hướng đến trang Award Information tương ứng.","on_click","Trang Award Information (Best Manager)","award_categories","award_category","Lấy thông tin hạng mục 'Best Manager'.","- Kiểm tra thẻ hiển thị đúng hình ảnh; tên và mô tả hạng mục Best Manager
- Kiểm tra nút 'Chi tiết' hoạt động và điều hướng đúng
- Kiểm tra hiệu ứng hover trên thẻ
- Kiểm tra responsive trên các kích thước màn hình khác nhau"
